Point_ID,Statistic_ID,Name,Duration,Month,Value,Weight,Gs,Phi,Point_ID2,Distance,Phi2
1,6,skewness,24H,6,4.245010376,2,3.579445601,0.748330037,NA,NA,NA
1,6,skewness,24H,7,3.655421972,2,3.579445601,0.772888899,NA,NA,NA
1,6,skewness,24H,8,3.407224655,2,3.579445601,0.728498697,NA,NA,NA
1,6,skewness,24H,9,3.171055317,2,3.579445601,0.600522876,NA,NA,NA
1,6,skewness,24H,10,3.925433874,2,3.579445601,0.474003792,NA,NA,NA
1,6,skewness,24H,11,2.788660765,2,3.579445601,0.57373937,NA,NA,NA
1,6,skewness,24H,12,3.233357191,2,3.579445601,0.639163494,NA,NA,NA
1,7,probability_dry_0.2mm,24H,1,0.452471483,6,1,0.565652728,NA,NA,NA
1,7,probability_dry_0.2mm,24H,2,0.536534447,6,1,0.466318727,NA,NA,NA
1,7,probability_dry_0.2mm,24H,3,0.590132827,6,1,0.437760909,NA,NA,NA
1,7,probability_dry_0.2mm,24H,4,0.668627451,6,1,0.387124181,NA,NA,NA
1,7,probability_dry_0.2mm,24H,5,0.557251908,6,1,0.71564889,NA,NA,NA
1,7,probability_dry_0.2mm,24H,6,0.599214145,6,1,0.748330037,NA,NA,NA
1,7,probability_dry_0.2mm,24H,7,0.573333333,6,1,0.772888899,NA,NA,NA
1,7,probability_dry_0.2mm,24H,8,0.582061069,6,1,0.728498697,NA,NA,NA
1,7,probability_dry_0.2mm,24H,9,0.676470588,6,1,0.600522876,NA,NA,NA
1,7,probability_dry_0.2mm,24H,10,0.633776091,6,1,0.474003792,NA,NA,NA
1,7,probability_dry_0.2mm,24H,11,0.569744597,6,1,0.57373937,NA,NA,NA
1,7,probability_dry_0.2mm,24H,12,0.399239544,6,1,0.639163494,NA,NA,NA
1,8,autocorrelation_lag1,24H,1,0.231795075,3,1,0.565652728,NA,NA,NA
1,8,autocorrelation_lag1,24H,2,0.227016232,3,1,0.466318727,NA,NA,NA
1,8,autocorrelation_lag1,24H,3,0.19953903,3,1,0.437760909,NA,NA,NA
1,8,autocorrelation_lag1,24H,4,0.16451663,3,1,0.387124181,NA,NA,NA
1,8,autocorrelation_lag1,24H,5,0.249902938,3,1,0.71564889,NA,NA,NA
1,8,autocorrelation_lag1,24H,6,0.181542943,3,1,0.748330037,NA,NA,NA
1,8,autocorrelation_lag1,24H,7,0.108249116,3,1,0.772888899,NA,NA,NA
1,8,autocorrelation_lag1,24H,8,0.064959545,3,1,0.728498697,NA,NA,NA
1,8,autocorrelation_lag1,24H,9,0.253165874,3,1,0.600522876,NA,NA,NA
1,8,autocorrelation_lag1,24H,10,0.192376613,3,1,0.474003792,NA,NA,NA
1,8,autocorrelation_lag1,24H,11,0.210614606,3,1,0.57373937,NA,NA,NA
1,8,autocorrelation_lag1,24H,12,0.176526437,3,1,0.639163494,NA,NA,NA
1,9,cross-correlation_lag0,24H,1,0.897519834,2,1,0.565652728,2,26.21228706,0.591197411
1,9,cross-correlation_lag0,24H,1,0.915009641,2,1,0.565652728,3,43.08104103,0.696822166
1,9,cross-correlation_lag0,24H,1,0.866733551,2,1,0.565652728,4,46.95451725,1.210458835
1,9,cross-correlation_lag0,24H,1,0.934072352,2,1,0.565652728,5,21.50425849,0.462365588
1,9,cross-correlation_lag0,24H,1,0.916065401,2,1,0.565652728,6,13.72646058,0.785268148
1,9,cross-correlation_lag0,24H,1,0.76776345,2,1,0.565652728,7,42.27067713,0.707906405
1,9,cross-correlation_lag0,24H,1,0.755908004,2,1,0.565652728,8,33.16082709,1.046894789
1,9,cross-correlation_lag0,24H,1,0.916719275,2,1,0.565652728,9,23.51627224,0.809160312
1,9,cross-correlation_lag0,24H,1,0.768924973,2,1,0.565652728,10,40.35819741,1.200785875
1,9,cross-correlation_lag0,24H,1,0.877099013,2,1,0.565652728,11,36.3266383,0.833333333
1,9,cross-correlation_lag0,24H,1,0.771136595,2,1,0.565652728,12,30.71894923,1.071505388
1,9,cross-correlation_lag0,24H,1,0.933074871,2,1,0.565652728,13,21.38471721,0.791072687
1,9,cross-correlation_lag0,24H,1,0.908646676,2,1,0.565652728,14,25.79545886,0.603289048
1,9,cross-correlation_lag0,24H,1,0.801172894,2,1,0.565652728,15,36.97039694,0.966129065
1,9,cross-correlation_lag0,24H,2,0.922014595,2,1,0.466318727,2,26.21228706,0.451991598
1,9,cross-correlation_lag0,24H,2,0.854486146,2,1,0.466318727,3,43.08104103,0.530088504
1,9,cross-correlation_lag0,24H,2,0.792648104,2,1,0.466318727,4,46.95451725,0.909238736
1,9,cross-correlation_lag0,24H,2,0.917583123,2,1,0.466318727,5,21.50425849,0.367505232
1,9,cross-correlation_lag0,24H,2,0.92208051,2,1,0.466318727,6,13.72646058,0.594900211
1,9,cross-correlation_lag0,24H,2,0.82447297,2,1,0.466318727,7,42.27067713,0.585091432
1,9,cross-correlation_lag0,24H,2,0.819002825,2,1,0.466318727,8,33.16082709,0.819238901
1,9,cross-correlation_lag0,24H,2,0.905209989,2,1,0.466318727,9,23.51627224,0.59359777
1,9,cross-correlation_lag0,24H,2,0.827915871,2,1,0.466318727,10,40.35819741,0.953617016
1,9,cross-correlation_lag0,24H,2,0.842722005,2,1,0.466318727,11,36.3266383,0.641458352
1,9,cross-correlation_lag0,24H,2,0.757824665,2,1,0.466318727,12,30.71894923,0.796074073
1,9,cross-correlation_lag0,24H,2,0.909342329,2,1,0.466318727,13,21.38471721,0.573680083
1,9,cross-correlation_lag0,24H,2,0.900479965,2,1,0.466318727,14,25.79545886,0.485525409
1,9,cross-correlation_lag0,24H,2,0.802202605,2,1,0.466318727,15,36.97039694,0.801327467
1,9,cross-correlation_lag0,24H,3,0.891653436,2,1,0.437760909,2,26.21228706,0.418702284
1,9,cross-correlation_lag0,24H,3,0.855223867,2,1,0.437760909,3,43.08104103,0.555779576
1,9,cross-correlation_lag0,24H,3,0.85228069,2,1,0.437760909,4,46.95451725,0.877648592
1,9,cross-correlation_lag0,24H,3,0.91342751,2,1,0.437760909,5,21.50425849,0.366603414
1,9,cross-correlation_lag0,24H,3,0.900425144,2,1,0.437760909,6,13.72646058,0.569696983
1,9,cross-correlation_lag0,24H,3,0.801692497,2,1,0.437760909,7,42.27067713,0.540417473
1,9,cross-correlation_lag0,24H,3,0.756626966,2,1,0.437760909,8,33.16082709,0.761796316
1,9,cross-correlation_lag0,24H,3,0.916131782,2,1,0.437760909,9,23.51627224,0.542268713
1,9,cross-correlation_lag0,24H,3,0.747764445,2,1,0.437760909,10,40.35819741,0.83352828
1,9,cross-correlation_lag0,24H,3,0.870386937,2,1,0.437760909,11,36.3266383,0.653447191
1,9,cross-correlation_lag0,24H,3,0.782140233,2,1,0.437760909,12,30.71894923,0.800336043
1,9,cross-correlation_lag0,24H,3,0.896788141,2,1,0.437760909,13,21.38471721,0.599529584
1,9,cross-correlation_lag0,24H,3,0.837075557,2,1,0.437760909,14,25.79545886,0.4543492
1,9,cross-correlation_lag0,24H,3,0.769525391,2,1,0.437760909,15,36.97039694,0.739784956
1,9,cross-correlation_lag0,24H,4,0.844671239,2,1,0.387124181,2,26.21228706,0.333954453
1,9,cross-correlation_lag0,24H,4,0.745869086,2,1,0.387124181,3,43.08104103,0.369867762
1,9,cross-correlation_lag0,24H,4,0.746715516,2,1,0.387124181,4,46.95451725,0.547908505
1,9,cross-correlation_lag0,24H,4,0.843847335,2,1,0.387124181,5,21.50425849,0.363905311
1,9,cross-correlation_lag0,24H,4,0.900946109,2,1,0.387124181,6,13.72646058,0.448851784
1,9,cross-correlation_lag0,24H,4,0.742064413,2,1,0.387124181,7,42.27067713,0.458349705
