Point_ID,Statistic_ID,Name,Duration,Month,Value,Point_ID2,Distance,Phi2
1,8,autocorrelation_lag1,24H,8,0.107349791,NA,NA,NA
1,8,autocorrelation_lag1,24H,9,0.130038743,NA,NA,NA
1,8,autocorrelation_lag1,24H,10,0.186921934,NA,NA,NA
1,8,autocorrelation_lag1,24H,11,0.285898719,NA,NA,NA
1,8,autocorrelation_lag1,24H,12,0.26716087,NA,NA,NA
1,9,cross-correlation_lag0,24H,1,0.889005409,2,26.21228706,0.591197411
1,9,cross-correlation_lag0,24H,1,0.824049067,3,43.08104103,0.696822166
1,9,cross-correlation_lag0,24H,1,0.810002982,4,46.95451725,1.210458835
1,9,cross-correlation_lag0,24H,1,0.908167849,5,21.50425849,0.462365588
1,9,cross-correlation_lag0,24H,1,0.940684886,6,13.72646058,0.785268148
1,9,cross-correlation_lag0,24H,1,0.827029704,7,42.27067713,0.707906405
1,9,cross-correlation_lag0,24H,1,0.861521813,8,33.16082709,1.046894789
1,9,cross-correlation_lag0,24H,1,0.899927455,9,23.51627224,0.809160312
1,9,cross-correlation_lag0,24H,1,0.834121427,10,40.35819741,1.200785875
1,9,cross-correlation_lag0,24H,1,0.849332459,11,36.3266383,0.833333333
1,9,cross-correlation_lag0,24H,1,0.871067814,12,30.71894923,1.071505388
1,9,cross-correlation_lag0,24H,1,0.908659781,13,21.38471721,0.791072687
1,9,cross-correlation_lag0,24H,1,0.890684896,14,25.79545886,0.603289048
1,9,cross-correlation_lag0,24H,1,0.846879963,15,36.97039694,0.966129065
1,9,cross-correlation_lag0,24H,2,0.901600303,2,26.21228706,0.451991598
1,9,cross-correlation_lag0,24H,2,0.844847502,3,43.08104103,0.530088504
1,9,cross-correlation_lag0,24H,2,0.832682137,4,46.95451725,0.909238736
1,9,cross-correlation_lag0,24H,2,0.918480611,5,21.50425849,0.367505232
1,9,cross-correlation_lag0,24H,2,0.947245089,6,13.72646058,0.594900211
1,9,cross-correlation_lag0,24H,2,0.847434257,7,42.27067713,0.585091432
1,9,cross-correlation_lag0,24H,2,0.8774942,8,33.16082709,0.819238901
1,9,cross-correlation_lag0,24H,2,0.911214683,9,23.51627224,0.59359777
1,9,cross-correlation_lag0,24H,2,0.853595991,10,40.35819741,0.953617016
1,9,cross-correlation_lag0,24H,2,0.866845402,11,36.3266383,0.641458352
1,9,cross-correlation_lag0,24H,2,0.885852409,12,30.71894923,0.796074073
1,9,cross-correlation_lag0,24H,2,0.91891469,13,21.38471721,0.573680083
1,9,cross-correlation_lag0,24H,2,0.903077483,14,25.79545886,0.485525409
1,9,cross-correlation_lag0,24H,2,0.864706192,15,36.97039694,0.801327467
1,9,cross-correlation_lag0,24H,3,0.878990026,2,26.21228706,0.418702284
1,9,cross-correlation_lag0,24H,3,0.811523312,3,43.08104103,0.555779576
1,9,cross-correlation_lag0,24H,3,0.797349351,4,46.95451725,0.877648592
1,9,cross-correlation_lag0,24H,3,0.899440019,5,21.50425849,0.366603414
1,9,cross-correlation_lag0,24H,3,0.934629337,6,13.72646058,0.569696983
1,9,cross-correlation_lag0,24H,3,0.814551092,7,42.27067713,0.540417473
1,9,cross-correlation_lag0,24H,3,0.850076948,8,33.16082709,0.761796316
1,9,cross-correlation_lag0,24H,3,0.890618076,9,23.51627224,0.542268713
1,9,cross-correlation_lag0,24H,3,0.821782597,10,40.35819741,0.83352828
1,9,cross-correlation_lag0,24H,3,0.837421843,11,36.3266383,0.653447191
1,9,cross-correlation_lag0,24H,3,0.860061236,12,30.71894923,0.800336043
1,9,cross-correlation_lag0,24H,3,0.899967961,13,21.38471721,0.599529584
1,9,cross-correlation_lag0,24H,3,0.880773152,14,25.79545886,0.4543492
1,9,cross-correlation_lag0,24H,3,0.834888666,15,36.97039694,0.739784956
1,9,cross-correlation_lag0,24H,4,0.850115727,2,26.21228706,0.333954453
1,9,cross-correlation_lag0,24H,4,0.767499143,3,43.08104103,0.369867762
1,9,cross-correlation_lag0,24H,4,0.750258477,4,46.95451725,0.547908505
1,9,cross-correlation_lag0,24H,4,0.875316311,5,21.50425849,0.363905311
1,9,cross-correlation_lag0,24H,4,0.918823392,6,13.72646058,0.448851784
1,9,cross-correlation_lag0,24H,4,0.771187656,7,42.27067713,0.458349705
1,9,cross-correlation_lag0,24H,4,0.814605367,8,33.16082709,0.518562078
1,9,cross-correlation_lag0,24H,4,0.864436928,9,23.51627224,0.418300668
1,9,cross-correlation_lag0,24H,4,0.780005048,10,40.35819741,0.589570959
1,9,cross-correlation_lag0,24H,4,0.799110486,11,36.3266383,0.444990158
1,9,cross-correlation_lag0,24H,4,0.826851156,12,30.71894923,0.478194435
1,9,cross-correlation_lag0,24H,4,0.875967755,13,21.38471721,0.41069444
1,9,cross-correlation_lag0,24H,4,0.852310418,14,25.79545886,0.40092961
1,9,cross-correlation_lag0,24H,4,0.796012568,15,36.97039694,0.507560809
1,9,cross-correlation_lag0,24H,5,0.788971618,2,26.21228706,0.77459391
1,9,cross-correlation_lag0,24H,5,0.705875482,3,43.08104103,0.788172086
1,9,cross-correlation_lag0,24H,5,0.691551556,4,46.95451725,1.0373257
1,9,cross-correlation_lag0,24H,5,0.819217594,5,21.50425849,0.703696648
