Point_ID,Statistic_ID,Name,Duration,Month,Value,Weight,Gs,Phi
1,1,variance,1,1,0.13421693444252014,1,0.17840494153400263,1.0
1,1,variance,1,2,0.09195636957883835,1,0.17840494153400263,1.0
1,1,variance,1,3,0.0980614423751831,1,0.17840494153400263,1.0
1,1,variance,1,4,0.0951792448759079,1,0.17840494153400263,1.0
1,1,variance,1,5,0.2605639696121216,1,0.17840494153400263,1.0
1,1,variance,1,6,0.1794106364250183,1,0.17840494153400263,1.0
1,1,variance,1,7,0.32839205861091614,1,0.17840494153400263,1.0
1,1,variance,1,8,0.2030012011528015,1,0.17840494153400263,1.0
1,1,variance,1,9,0.22017258405685425,1,0.17840494153400263,1.0
1,1,variance,1,10,0.19395649433135986,1,0.17840494153400263,1.0
1,1,variance,1,11,0.17645129561424255,1,0.17840494153400263,1.0
1,1,variance,1,12,0.15949706733226776,1,0.17840494153400263,1.0
1,2,skewness,1,1,8.315674781799316,2,12.516782482465109,1.0
1,2,skewness,1,2,8.18093490600586,2,12.516782482465109,1.0
1,2,skewness,1,3,9.036358833312988,2,12.516782482465109,1.0
1,2,skewness,1,4,8.432927131652832,2,12.516782482465109,1.0
1,2,skewness,1,5,20.737442016601562,2,12.516782482465109,1.0
1,2,skewness,1,6,15.734886169433594,2,12.516782482465109,1.0
1,2,skewness,1,7,26.720340728759766,2,12.516782482465109,1.0
1,2,skewness,1,8,12.729591369628906,2,12.516782482465109,1.0
1,2,skewness,1,9,16.06056022644043,2,12.516782482465109,1.0
1,2,skewness,1,10,8.879631996154785,2,12.516782482465109,1.0
1,2,skewness,1,11,8.038260459899902,2,12.516782482465109,1.0
1,2,skewness,1,12,7.334781169891357,2,12.516782482465109,1.0
1,3,probability_dry_0.2mm,1,1,0.8865805919923082,7,1.0,1.0
1,3,probability_dry_0.2mm,1,2,0.8993786029797111,7,1.0,1.0
1,3,probability_dry_0.2mm,1,3,0.9031313818924438,7,1.0,1.0
1,3,probability_dry_0.2mm,1,4,0.9107744692679198,7,1.0,1.0
1,3,probability_dry_0.2mm,1,5,0.9153026585554398,7,1.0,1.0
1,3,probability_dry_0.2mm,1,6,0.9249372734875941,7,1.0,1.0
1,3,probability_dry_0.2mm,1,7,0.9322188449848025,7,1.0,1.0
1,3,probability_dry_0.2mm,1,8,0.9239843169066451,7,1.0,1.0
1,3,probability_dry_0.2mm,1,9,0.920756290838315,7,1.0,1.0
1,3,probability_dry_0.2mm,1,10,0.8957438101084509,7,1.0,1.0
1,3,probability_dry_0.2mm,1,11,0.8792044661549198,7,1.0,1.0
1,3,probability_dry_0.2mm,1,12,0.8850905398544593,7,1.0,1.0
1,4,mean,24,1,2.0445194244384766,6,1.8690203328927357,1.0
1,4,mean,24,2,1.6263644695281982,6,1.8690203328927357,1.0
1,4,mean,24,3,1.5934548377990723,6,1.8690203328927357,1.0
1,4,mean,24,4,1.5568677186965942,6,1.8690203328927357,1.0
1,4,mean,24,5,1.933737874031067,6,1.8690203328927357,1.0
1,4,mean,24,6,1.6194467544555664,6,1.8690203328927357,1.0
1,4,mean,24,7,1.6796568632125854,6,1.8690203328927357,1.0
1,4,mean,24,8,1.779363751411438,6,1.8690203328927357,1.0
1,4,mean,24,9,1.8142141103744507,6,1.8690203328927357,1.0
1,4,mean,24,10,2.2230074405670166,6,1.8690203328927357,1.0
1,4,mean,24,11,2.306497812271118,6,1.8690203328927357,1.0
1,4,mean,24,12,2.251112937927246,6,1.8690203328927357,1.0
1,5,variance,24,1,13.203130722045898,2,16.896917899449665,1.0
1,5,variance,24,2,10.01594352722168,2,16.896917899449665,1.0
1,5,variance,24,3,10.657444953918457,2,16.896917899449665,1.0
1,5,variance,24,4,10.906293869018555,2,16.896917899449665,1.0
1,5,variance,24,5,21.415485382080078,2,16.896917899449665,1.0
1,5,variance,24,6,14.37408447265625,2,16.896917899449665,1.0
1,5,variance,24,7,30.329879760742188,2,16.896917899449665,1.0
1,5,variance,24,8,17.009492874145508,2,16.896917899449665,1.0
1,5,variance,24,9,19.266157150268555,2,16.896917899449665,1.0
1,5,variance,24,10,21.352596282958984,2,16.896917899449665,1.0
1,5,variance,24,11,17.432397842407227,2,16.896917899449665,1.0
1,5,variance,24,12,16.800107955932617,2,16.896917899449665,1.0
1,6,skewness,24,1,2.77518367767334,3,4.36853814125061,1.0
1,6,skewness,24,2,3.017411470413208,3,4.36853814125061,1.0
1,6,skewness,24,3,3.8044774532318115,3,4.36853814125061,1.0
1,6,skewness,24,4,3.6691925525665283,3,4.36853814125061,1.0
1,6,skewness,24,5,5.093440055847168,3,4.36853814125061,1.0
1,6,skewness,24,6,4.195701599121094,3,4.36853814125061,1.0
1,6,skewness,24,7,11.85974407196045,3,4.36853814125061,1.0
1,6,skewness,24,8,3.944176197052002,3,4.36853814125061,1.0
1,6,skewness,24,9,4.236702919006348,3,4.36853814125061,1.0
1,6,skewness,24,10,4.088930606842041,3,4.36853814125061,1.0
1,6,skewness,24,11,2.9937422275543213,3,4.36853814125061,1.0
1,6,skewness,24,12,2.7437548637390137,3,4.36853814125061,1.0
1,7,probability_dry_0.2mm,24,1,0.40640809443507586,7,1.0,1.0
1,7,probability_dry_0.2mm,24,2,0.47733580018501387,7,1.0,1.0
1,7,probability_dry_0.2mm,24,3,0.503728251864126,7,1.0,1.0
1,7,probability_dry_0.2mm,24,4,0.5435510887772195,7,1.0,1.0
1,7,probability_dry_0.2mm,24,5,0.5566343042071198,7,1.0,1.0
1,7,probability_dry_0.2mm,24,6,0.5750209555741828,7,1.0,1.0
